 Time,10 g X,Temperature,Sound,Light,Pressure,Humidity,Comment
  min:s,g, C, dBA, lx, kPa, %RH,
02:45,0.01605137,17.92,40,109.2168,96.942,29.78942,
02:46,-0.02407705,17.89333,87.48682,87.37347,96.9,29.82757,
02:47,0.01605137,17.84,78.97364,11.72083,96.904,29.86572,
02:48,0.02407705,17.81333,40,2.13106,96.874,29.89624,
02:49,0.008025683,17.78667,40.68893,1.06553,96.92,29.9115,
02:50,0.01605137,17.73333,70.31283,1.06553,96.91,29.94202,
02:51,0.02407705,17.73333,41.69772,0.532765,96.94,29.97253,
02:52,0.02407705,17.68,55.52548,1.06553,96.916,30.00305,
02:53,0.01605137,17.65333,41.57469,1.06553,96.918,30.03357,
02:54,0.01605137,17.62667,63.7188,0.532765,96.874,30.06409,
02:55,0.01605137,17.6,66.00703,0.532765,96.896,30.10224,
02:56,0.01605137,17.54667,42.82952,0.532765,96.91,30.14038,
02:57,0.008025683,17.52,86.74868,0.532765,96.916,30.17853,
02:58,0.02407705,17.49333,62.80844,0.532765,96.894,30.22431,
02:59,0.01605137,17.46667,43.39543,0.532765,96.9,30.2472,
03:00,0.01605137,17.44,80.69596,0.532765,96.922,30.3006,
03:00,0.01605137,17.41333,62.46397,0.532765,96.91,30.33875,
03:00,0.008025683,17.38667,79.12126,0.532765,96.926,30.36927,
03:00,0,17.36,63.86643,0.532765,96.898,30.40742,
03:00,0.008025683,17.33333,40,0.532765,96.91,30.45319,
03:00,0.08025682,17.30667,45.01933,81.51305,96.898,30.49134,
03:00,0.03210273,17.28,54.63972,72.98882,96.92,30.52949,
03:00,0.04815409,17.25333,64.11248,62.33351,96.884,30.54475,
03:00,0.01605137,17.22667,81.16344,61.80075,96.918,30.56001,
03:00,0.008025683,17.2,69.23023,60.73521,96.922,30.56764,
03:10,0.01605137,17.17333,75.92267,62.33351,96.89,30.56764,
03:10,0.008025683,17.14667,69.99297,62.33351,96.908,30.56001,
03:10,0.01605137,17.12,82.41827,61.80075,96.886,30.54475,
03:10,0.008025683,17.09333,73.95431,62.33351,96.914,30.53712,
03:10,0.008025683,17.06667,62.24253,62.86628,96.896,30.52949,
03:10,0.02407705,17.06667,82.49209,56.47309,96.91,30.52186,
03:10,-0.02407705,17.04,76.0949,59.13692,96.9,30.5066,
03:10,-0.1123596,17.01333,75.0123,58.07139,96.918,30.49134,
03:10,0.1043339,17.01333,68.78735,58.60416,96.928,30.48371,
03:10,0.3852327,16.98667,72.01054,62.86628,96.912,30.48371,
03:20,0.4012841,16.96,72.47803,60.73521,96.896,30.45319,
03:20,-0.2407705,16.93333,61.97188,61.26798,96.932,30.42267,
03:20.0.06420546,16.93333,51.61336,60.73521,96.92,30.39216,
03:20,-1.035313,16.90667,64.2109,60.73521,96.874,30.36927,
03:20,-0.834671,16.90667,83.32864,61.26798,96.88,30.34638,
03:20,-0.3611557,16.88,61.94728,61.26798,96.896,30.31586,
03:20,-1.05939,16.85333,57.88752,62.33351,96.894,30.29297,
03:20,-0.2648475,16.82667,41.20562,62.33351,96.904,30.27008,
